schluessel;kurzform;anzeigeform;langform
27212014-TSL-DS;BZ-TSL-DS;Bauzeichner/Bauzeichnerin - Schwerpunkt Tief-, Str;Bauzeichner/Bauzeichnerin - Schwerpunkt Tief-, Straßen- und Landschaftsbau (+ duales Studium)
22103349-DS;VKDSH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik + duales Studium Handwerk
24142351;MGKHMM;Metall- und Glockengießer/in FR Kunst- und Glocken;Metall- und Glockengießer/in FR Kunst- und Glockengusstechnik
92302001;KAM;Kaufmann für audiovisuelle Medien/Kauffrau für aud;Kaufmann für audiovisuelle Medien/Kauffrau für audiovisuelle Medien
21222022;VMTIRK;Verfahrensmechaniker/in in der Steine- und Erdenin;Verfahrensmechaniker/in in der Steine- und Erdenindustrie FR Transportbeton
33302006-EA;ABF-EA;Ausbaufacharbeiter/Ausbaufacharbeiterin - Schwerpu;Ausbaufacharbeiter/Ausbaufacharbeiterin - Schwerpunkt Estricharbeiten
61142010-GT;AFIEHGT;Automatenfachmann/-fachfrau FR Gewerbe und Technik;Automatenfachmann/-fachfrau FR Gewerbe und Technik (ausgelaufener Beruf)
73332014;FMIIRV;Fachangestellte/r für Medien- und Informationsdien;Fachangestellte/r für Medien- und Informationsdienste FR Information und Dokumentation Industrie
24132003-FG;GM-FG;Gießereimechaniker/Gießereimechanikerin - Schwerpu;Gießereimechaniker/Gießereimechanikerin - Schwerpunkt Feinguss
41312004-DS;CK-DS;Chemikant/Chemikantin (+ duales Studium);Chemikant/Chemikantin (+ duales Studium)
26112310;MCHME;Mechatroniker/in Handwerk;Mechatroniker/in Handwerk
11302002;HPW;Helfer in der Pferdewirtschaft/Helferin in der Pfe;Helfer in der Pferdewirtschaft/Helferin in der Pferdewirtschaft
29252010;SEHILM;Speiseeishersteller/in Industrie;Speiseeishersteller/in Industrie
52422002;HS;Hafenschiffer/Hafenschifferin;Hafenschiffer/Hafenschifferin
32252010;KBIHT;Kanalbauer/in;Kanalbauer/in
61142339;AFHEH;Automatenfachmann/-fachfrau (ohne FR-Angabe);Automatenfachmann/-fachfrau (ohne FR-Angabe)
33132001;PAL;Parkettleger/Parkettlegerin;Parkettleger/Parkettlegerin
82322010;KOSING;Kosmetiker/in Industrie;Kosmetiker/in Industrie
28222007;NWHTL;Näher/Näherin im Wäscheschneiderhandwerk;Näher/Näherin im Wäscheschneiderhandwerk
21342032-SL;GVSIRK;Glasveredler/in FR Schliff Industrie;Glasveredler/in FR Schliff Industrie
23412094;DUTIPD;Drucker/in FR Tiefdruck Industrie;Drucker/in FR Tiefdruck Industrie
25212071;KUFIIMF;Karosserie- und Fahrzeugbaumechaniker/in FR Kaross;Karosserie- und Fahrzeugbaumechaniker/in FR Karosserieinstandhaltungstechnik Industrie
28232003;TKO;Technischer Konfektionär/Technische Konfektionärin;Technischer Konfektionär/Technische Konfektionärin
25222001;LBM;Land- und Baumaschinenmechatroniker/Land- und Baum;Land- und Baumaschinenmechatroniker/Land- und Baumaschinenmechatronikerin
21342004-SF;GV-SF;Glasveredler/Glasveredlerin - Fachrichtung Schliff;Glasveredler/Glasveredlerin - Fachrichtung Schliff
22102014-MK-DS;VKK-MK-DS;Verfahrensmechaniker/Verfahrensmechanikerin für Ku;Verfahrensmechaniker/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik - Fachrichtung Mehrschichtkautschukteile (+ duales Studium)
53132010;WFMISU;Werkfeuerwehrmann/Werkfeuerwehrfrau Industrie;Werkfeuerwehrmann/Werkfeuerwehrfrau Industrie
24232120;MWFIMM;Werkzeugmaschinenspaner/in Fräsen (§66 BBiG);Werkzeugmaschinenspaner/in Fräsen (§66 BBiG)
26312070;EZIME;Elektrogerätezusammenbauer/in (§66 BBiG) (36 Monat;Elektrogerätezusammenbauer/in (§66 BBiG) (36 Monate)
11402622;FWKLLF;Fischwirt/in FR Küstenfischerei und Kleine Hochsee;Fischwirt/in FR Küstenfischerei und Kleine Hochseefischerei
12102004;FPGB;Fachpraktiker Gartenbau/Fachpraktikerin Gartenbau;Fachpraktiker Gartenbau/Fachpraktikerin Gartenbau
51212710;SWÖVL;Straßenwärter/in;Straßenwärter/in
26312960;INFE;Informationselektroniker/in;Informationselektroniker/in
43232010;ISIIHK;IT-System-Kaufmann/Kauffrau Industrie und Handel (;IT-System-Kaufmann/Kauffrau Industrie und Handel (auslaufender Beruf)
71402120-BD;KBÖUO;Kaufmann/Kauffrau für Bürokommunikation Öffentlich;Kaufmann/Kauffrau für Bürokommunikation Öffentlicher Dienst
93522412;ESSESH;Edelsteinschleifer/in FR Edelsteinschleifen (Handw;Edelsteinschleifer/in FR Edelsteinschleifen (Handwerk)
34312720-IS;FRIÖGV;Fachkraft für Rohr-, Kanal- und Industrieservice S;Fachkraft für Rohr-, Kanal- und Industrieservice SP Industrieservice Öffentlicher Dienst
21342002-GR;GV-GR;Glasveredler/Glasveredlerin - Fachrichtung Gravur;Glasveredler/Glasveredlerin - Fachrichtung Gravur
93412001;KER;Keramiker/Keramikerin;Keramiker/Keramikerin
32123330-DS;MADSHHT;Maurer/in + duales Studium Handwerk;Maurer/in + duales Studium Handwerk
51332001;FKHL;Fachkraft für Hafenlogistik;Fachkraft für Hafenlogistik
23322002-PO;FOG-PF;Fotograf/Fotografin - Schwerpunkt Porträtfotografi;Fotograf/Fotografin - Schwerpunkt Porträtfotografie
23412007-FD;DR-FD;Drucker/Druckerin - Fachrichtung Flachdruck;Drucker/Druckerin - Fachrichtung Flachdruck
22352001;FWG;Flechtwerkgestalter/Flechtwerkgestalterin;Flechtwerkgestalter/Flechtwerkgestalterin
62242310;FMFHVB;Fotomedienfachmann/-fachfrau Handwerk;Fotomedienfachmann/-fachfrau Handwerk
41422322;WPKH;Werkstoffprüfer/in FR Kunststofftechnik (Handwerk);Werkstoffprüfer/in FR Kunststofftechnik (Handwerk)
23122010;PMTIPD;Packmitteltechnologe/Packmitteltechnologin Industr;Packmitteltechnologe/Packmitteltechnologin Industrie
29222003;BWE;Bäckerwerker/Bäckerwerkerin;Bäckerwerker/Bäckerwerkerin
54112340;GBRHRB;Gebäudereiniger/in;Gebäudereiniger/in
22352351;BPBHKH;Bürsten- und Pinselmacher/in ausgelaufener Beruf;Bürsten- und Pinselmacher/in ausgelaufener Beruf
43413341-DS;FIDSAHIK;Fachinformatiker/in + duales Studium FR Anwendungs;Fachinformatiker/in + duales Studium FR Anwendungsentwicklung Handwerk
99999056;FSWi-BWL-SRC;FS Wi Fr BWL/Untern Sp Steuern/Rechnung/Controll.;FS Wi Fr BWL/Untern Sp Steuern/Rechnung/Controll.
22342004-BHR;HM-BHR;Holzmechaniker/Holzmechanikerin - Fachrichtung Her;Holzmechaniker/Holzmechanikerin - Fachrichtung Herstellen von Bauelementen, Holzpackmitteln und Rahmen
71402007;KBK;Kaufmann/Kauffrau für Bürokommunikation;Kaufmann/Kauffrau für Bürokommunikation
11101620;HWLLF;Helfer/in im Weinbau (§66 BBiG);Helfer/in im Weinbau (§66 BBiG)
31212021;VTVIBA;Vermessungstechniker/in FR Vermessung Industrie;Vermessungstechniker/in FR Vermessung Industrie
29222390;FPBHWO;Fachpraktiker/in für Bäckereien (§42r HwO);Fachpraktiker/in für Bäckereien (§42r HwO)
51412010-SI;KVSIVL;Kaufmann/Kauffrau für Verkehrsservice SP Sicherhei;Kaufmann/Kauffrau für Verkehrsservice SP Sicherheit und Service
32202020-ST;TBIHTST;Tiefbaufacharbeiter/in SP Straßenbauarbeiten;Tiefbaufacharbeiter/in SP Straßenbauarbeiten
25212002;FPKFZ;Fachpraktiker für Kfz-Mechatronik/Fachpraktikerin ;Fachpraktiker für Kfz-Mechatronik/Fachpraktikerin für Kfz-Mechatronik
93352003-KH;WAZ-KH;Wachszieher/Wachszieherin - Fachrichtung Kerzenher;Wachszieher/Wachszieherin - Fachrichtung Kerzenherstellung
29262005-ZW;FKST-ZW;Fachkraft für Süßwarentechnik - Fachrichtung Zucke;Fachkraft für Süßwarentechnik - Fachrichtung Zuckerwaren
21352012;TMJIRK;Thermometermacher/in FR Thermometerjustieren;Thermometermacher/in FR Thermometerjustieren
41413010-DS;PLDSIMB;Physiklaborant/in + duales Studium;Physiklaborant/in + duales Studium
25233321-FH;FMDSFHMF;Fluggerätmechaniker/in + duales Studium FR Fertigu;Fluggerätmechaniker/in + duales Studium FR Fertigungstechnik Handwerk
22342392;HMEIKH;Holzmechaniker/in FR Herstellen von Bauelementen, ;Holzmechaniker/in FR Herstellen von Bauelementen, Holzpackmitteln und Rahmen
92122030;FKDIWM;Fachpraktiker/in für Dialogmarketing (§66 BBiG);Fachpraktiker/in für Dialogmarketing (§66 BBiG)
25252310;FMHMF;Fahrradmonteur/in;Fahrradmonteur/in
25212008-KF;KUF-KF;Karosserie- und Fahrzeugbaumechaniker/Karosserie- ;Karosserie- und Fahrzeugbaumechaniker/Karosserie- und Fahrzeugbaumechanikerin - Fachrichtung Karosserie- und Fahrzeugbautechnik
21322310;GABHRK;Glasapparatebauer/in Handwerk;Glasapparatebauer/in Handwerk
25222341;MBNHMF;Metallbauer/in FR Nutzfahrzeugbau;Metallbauer/in FR Nutzfahrzeugbau
63302002;FKGG;Fachkraft im Gastgewerbe;Fachkraft im Gastgewerbe
82102001;PF-AP;Pflegefachmann Altenpflege/Pflegefachfrau Altenpfl;Pflegefachmann Altenpflege/Pflegefachfrau Altenpflege
93352020;KWIPK;Kerzenhersteller/in und Wachsbildner/in;Kerzenhersteller/in und Wachsbildner/in
93522002;ES;Edelsteinschleifer/Edelsteinschleiferin;Edelsteinschleifer/Edelsteinschleiferin
93522030;EFIPK;Edelsteinfasser/in Industrie;Edelsteinfasser/in Industrie
23212006-PR;MDP-PR;Mediengestalter Digital und Print/Mediengestalteri;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Printmedien
41322030;SPIMB;Stoffprüfer/in (Chemie) ausgelaufener Beruf;Stoffprüfer/in (Chemie) ausgelaufener Beruf
62302310;FHHVB;Fachgehilfe/-gehilfin im Nahrungsmittelverkauf (§4;Fachgehilfe/-gehilfin im Nahrungsmittelverkauf (§42r HwO)
32112002-DS;BSB-DS;Beton- und Stahlbetonbauer/Beton- und Stahlbetonba;Beton- und Stahlbetonbauer/Beton- und Stahlbetonbauerin (+ duales Studium)
93522040;EGIPK;Edelsteingraveur/in Industrie;Edelsteingraveur/in Industrie
62102001;FPVK;Fachpraktiker im Verkauf/Fachpraktikerin im Verkau;Fachpraktiker im Verkauf/Fachpraktikerin im Verkauf
24212320;SUMH;Stanz- und Umformmechaniker/in (Handwerk);Stanz- und Umformmechaniker/in (Handwerk)
92302020;MKDIWM;Medienkaufmann/-kauffrau Digital und Print Industr;Medienkaufmann/-kauffrau Digital und Print Industrie
12202010;FLOIGF;Florist/in;Florist/in
28322005-FT;SA-FT;Sattler/Sattlerin - Fachrichtung Feintäschnerei;Sattler/Sattlerin - Fachrichtung Feintäschnerei
22342033;HMOHKH;Holzmechaniker/in FR Montieren von Innenausbauten ;Holzmechaniker/in FR Montieren von Innenausbauten und Bauelementen
43232020;KITSMI;Kaufmann/Kauffrau für IT-System-Management Industr;Kaufmann/Kauffrau für IT-System-Management Industrie
99999074;FSMst-IT;FS Mst Informationstechniker/-in;FS Mst Informationstechniker/-in
25212005;KFZFW;Kraftfahrzeugfachwerker/Kraftfahrzeugfachwerkerin;Kraftfahrzeugfachwerker/Kraftfahrzeugfachwerkerin
22103346-FV;VKDSFH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktech.+duales Studium FR Faserverbundtechnologie Handwerk
24412007-MG;MB-MG;Metallbauer/Metallbauerin - Fachrichtung Metallges;Metallbauer/Metallbauerin - Fachrichtung Metallgestaltung
71402310;ISHUO;Bürokaufmann/-kauffrau Handwerk;Bürokaufmann/-kauffrau Handwerk
21222320-BT;BTTHRK;Betonstein- und Terrazzohersteller/in SP Betonstei;Betonstein- und Terrazzohersteller/in SP Betonstein und Terrazo
22103056;VKDSFI;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktech.+duales Studium FR Faserverbundtechnologie Industrie
43233010;ISIIK;IT-System-Kaufmann/Kauffrau Industrie (auslaufende;IT-System-Kaufmann/Kauffrau Industrie (auslaufender Beruf)
73202002-KV;VFA-KV;Verwaltungsfachangestellter/Verwaltungsfachangeste;Verwaltungsfachangestellter/Verwaltungsfachangestellte - Fachrichtung Kommunalverwaltung
43113020-DS;INKDSIIK;Informatikkaufmann/-kauffrau + duales Studium Indu;Informatikkaufmann/-kauffrau + duales Studium Industrie
25212440;FPKMHMF;Fachpraktiker/in für Kfz-Mechatronik (§42r HwO);Fachpraktiker/in für Kfz-Mechatronik (§42r HwO)
23412320;MTSHPD;Medientechnologe/Medientechnologin Siebdruck Handw;Medientechnologe/Medientechnologin Siebdruck Handwerk
25122010-TV;MAVIMF;Maschinen- und Anlagenführer/in SP Textilveredlung;Maschinen- und Anlagenführer/in SP Textilveredlung
24212001;SUT;Stanz- und Umformmechaniker/Stanz- und Umformmecha;Stanz- und Umformmechaniker/Stanz- und Umformmechanikerin
22102054-CM;VKCMIKH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik FR Compound- und Masterbatchherstellung Industrie
31212319-HW;VTHBA;Vermessungstechniker/in (ohne FR-Angabe) Handwerk;Vermessungstechniker/in (ohne FR-Angabe) Handwerk
11102660;FPLALLF;Fachpraktiker/in in der Landwirtschaft (§66 BBiG);Fachpraktiker/in in der Landwirtschaft (§66 BBiG)
63112001;KTFR;Kaufmann für Tourismus und Freizeit/Kauffrau für T;Kaufmann für Tourismus und Freizeit/Kauffrau für Tourismus und Freizeit
23412008-HD;DR-HD;Drucker/Druckerin - Fachrichtung Hochdruck;Drucker/Druckerin - Fachrichtung Hochdruck
62532020;MFHIVB;Musikfachhändler/in Industrie;Musikfachhändler/in Industrie
21212004-NS;AM-NS;Aufbereitungsmechaniker/Aufbereitungsmechanikerin ;Aufbereitungsmechaniker/Aufbereitungsmechanikerin - Fachrichtung Naturstein
62412002;PKA;Pharmazeutisch-kaufmännischer Angestellter/Pharmaz;Pharmazeutisch-kaufmännischer Angestellter/Pharmazeutisch-kaufmännische Angestellte
43103329-DS;FIDSHIK;Fachinformatiker/in + duales Studium Handwerk;Fachinformatiker/in + duales Studium Handwerk
24232006-DS;ZM-DS;Zerspanungsmechaniker/Zerspanungsmechanikerin (+ d;Zerspanungsmechaniker/Zerspanungsmechanikerin (+ duales Studium)
51312030;FLGIVL;Fachlagerist/in Industrie;Fachlagerist/in Industrie
29222330;BWHLM;Bäckerwerker/in (§42r HwO);Bäckerwerker/in (§42r HwO)
29132610;BRLLM;Brenner/in Landwirtschaft;Brenner/in Landwirtschaft
25252342;ZTMIMF;Zweirdmechatroniker/in FR Motorradtechnik Industri;Zweirdmechatroniker/in FR Motorradtechnik Industrie
99999084;HBF_BKA;Staatl. gepr. bekleidungstechnische/r Assistent/in;Staatl. gepr. bekleidungstechnische/r Assistent/in
25122310;MAFHMF;Maschinen- und Anlagenführer/in Handwerk;Maschinen- und Anlagenführer/in Handwerk
26302002;SYEL;Systemelektroniker/Systemelektronikerin;Systemelektroniker/Systemelektronikerin
73212004;SOFA-GU;Sozialversicherungsfachangestellter/Sozialversiche;Sozialversicherungsfachangestellter/Sozialversicherungsfachangestellte - Fachrichtung Gesetzliche Unfallversicherung
25232003-FT-DS;FGM-FT-DS;Fluggerätmechaniker/Fluggerätmechanikerin - Fachri;Fluggerätmechaniker/Fluggerätmechanikerin - Fachrichtung Fertigungstechnik (+ duales Studium)
24132004-HG;GM-HG;Gießereimechaniker/Gießereimechanikerin - Schwerpu;Gießereimechaniker/Gießereimechanikerin - Schwerpunkt Handformguss
32242001;BRB;Brunnenbauer/Brunnenbauerin;Brunnenbauer/Brunnenbauerin
29232003;FL;Fleischer/Fleischerin;Fleischer/Fleischerin
28232030;TKITL;Technische/r Konfektionär/in;Technische/r Konfektionär/in
28232020;PDNITL;Polster- und Dekorationsnäher/in Industrie;Polster- und Dekorationsnäher/in Industrie
12122003-ZB;GÄ-ZB;Gärtner/Gärtnerin - Fachrichtung Zierpflanzenbau;Gärtner/Gärtnerin - Fachrichtung Zierpflanzenbau
11302650;FPLLF;Fachpraktiker/in in der Pferdewirtschaft (§66 BBiG;Fachpraktiker/in in der Pferdewirtschaft (§66 BBiG)
23412310;MTDHPD;Medientechnologe/Medientechnologin Druck Handwerk;Medientechnologe/Medientechnologin Druck Handwerk
71402070;BPIUO;Büropraktiker/in (§66 BBiG);Büropraktiker/in (§66 BBiG)
25233042-II;FMDSIIMF;Fluggerätmechaniker/in + duales Studium FR Instand;Fluggerätmechaniker/in + duales Studium FR Instandhaltungstechnik Industrie
43112040;KDMI;Kaufmann/Kauffrau für Digitalisierungsmanagement I;Kaufmann/Kauffrau für Digitalisierungsmanagement Industrie
21222003-AT;VSE-AT;Verfahrensmechaniker/Verfahrensmechanikerin in der;Verfahrensmechaniker/Verfahrensmechanikerin in der Steine- und Erdenindustrie - Fachrichtung Asphalttechnik
28222110;MOITL;Modist/in Industrie;Modist/in Industrie
31142710;FWWÖBA;Fachkraft für Wasserwirtschaft Öffentlicher Dienst;Fachkraft für Wasserwirtschaft Öffentlicher Dienst
25102002;IFH;Industriefachhelfer/Industriefachhelferin;Industriefachhelfer/Industriefachhelferin
51662001;KKEP;Kaufmann für Kurier-, Express- und Postdienstleist;Kaufmann für Kurier-, Express- und Postdienstleistungen/Kauffrau für Kurier-, Express- und Postdienstleistungen
24512006-ZT;FWM-ZT;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpu;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Zerspanungstechnik
27232053;TMAIFP;Technische/r Modellbauer/in FR Anschauung Industri;Technische/r Modellbauer/in FR Anschauung Industrie
11102680;HWLLF;Helfer/in im Weinbau (§66 BBiG);Helfer/in im Weinbau (§66 BBiG)
27212012-SM;TZSIFP;Technische/Technischein FR Stahl- und Metallbautec;Technische/Technischein FR Stahl- und Metallbautechnik
41322010;CLCIMB;Chemielaborant/in;Chemielaborant/in
54132002;TRW;Textilreinigerwerker/Textilreinigerwerkerin;Textilreinigerwerker/Textilreinigerwerkerin
21232323;NSSHRK;Naturwerksteinmechaniker/in FR Steinmetztechnik Ha;Naturwerksteinmechaniker/in FR Steinmetztechnik Handwerk
71402008;KBM;Kaufmann für Büromanagement/Kauffrau für Büromanag;Kaufmann für Büromanagement/Kauffrau für Büromanagement
25232004-IT;FGM-IT;Fluggerätmechaniker/Fluggerätmechanikerin - Fachri;Fluggerätmechaniker/Fluggerätmechanikerin - Fachrichtung Instandhaltungstechnik
22102007-FV;VKK-FV;Verfahrensmechaniker für Kunststoff- und Kautschuk;Verfahrensmechaniker für Kunststoff- und Kautschuktechnik/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik - Fachrichtung Faserverbundtechnologie
29132020;DSILM;Destillateur/in;Destillateur/in
93522013-SD;ES-SD;Edelsteinschleifer/Edelsteinschleiferin - Fachrich;Edelsteinschleifer/Edelsteinschleiferin - Fachrichtung Schmuckdiamantschleifen
32102003-BS;HBF-BS;Hochbaufacharbeiter/Hochbaufacharbeiterin - Schwer;Hochbaufacharbeiter/Hochbaufacharbeiterin - Schwerpunkt Beton- und Stahlbetonarbeiten
61212029;KGAMI;Kaufmann/Kauffrau für Groß- und Außenhandelsmanage;Kaufmann/Kauffrau für Groß- und Außenhandelsmanagement - ohne FR-Angabe Industrie
82312310;FRHNG;Friseur/in;Friseur/in
26212909;EGSI;Elektroniker/in für Gebäudesystemintegration;Elektroniker/in für Gebäudesystemintegration
23422320-BH;BBBHPD;Buchbinder/in Buchfertigung (Serie) Handwerk;Buchbinder/in Buchfertigung (Serie) Handwerk
25212370-SH;KMEHSH;Kraftfahrzeugmechatroniker/in SP System- und Hochv;Kraftfahrzeugmechatroniker/in SP System- und Hochvolttechnik Handwerk
41322003;PTK;Prüftechnologe Keramik/Prüftechnologin Keramik;Prüftechnologe Keramik/Prüftechnologin Keramik
32102330-MA;HBFHHTMA;Hochbaufacharbeiter/in SP Maurerarbeiten Handwerk;Hochbaufacharbeiter/in SP Maurerarbeiten Handwerk
34212320;BGWHGV;Bearbeiter/in für Gas- und Wasserinstallation (§42;Bearbeiter/in für Gas- und Wasserinstallation (§42r HwO)
62412010;DRIVB;Drogist/in;Drogist/in
51312010;FLLIVL;Fachkraft für Lagerlogistik Industrie;Fachkraft für Lagerlogistik Industrie
71402010;BFHIUO;Bürofachhelfer/in (§66 BBiG);Bürofachhelfer/in (§66 BBiG)
41412001;PL;Physiklaborant/Physiklaborantin;Physiklaborant/Physiklaborantin
24522040;WMIMM;Werkzeugmechaniker/in;Werkzeugmechaniker/in
24122002-SU;VHH-SU;Verfahrensmechaniker/Verfahrensmechanikerin in der;Verfahrensmechaniker/Verfahrensmechanikerin in der Hütten- und Halbzeugindustrie - Fachrichtung Stahl-Umformung
21222008-VB;VSE-VB;Verfahrensmechaniker in der Steine- und Erdenindus;Verfahrensmechaniker in der Steine- und Erdenindustrie/Verfahrensmechanikerin in der Steine- und Erdenindustrie - Fachrichtung Vorgefertigte Betonerzeugnisse
73322001-BI;FMI-BI;Fachangestellter für Medien- und Informationsdiens;Fachangestellter für Medien- und Informationsdienste/Fachangestellte für Medien- und Informationsdienste - Fachrichtung Bibliothek
93512332;MBMTHPK;Metallbildner/in FR Metalldrücktechnik;Metallbildner/in FR Metalldrücktechnik
99999013;FSG-KG;FS Gestaltung Fr Keramikgestaltung;FS Gestaltung Fr Keramikgestaltung
62272310;AKHVB;Automobilkaufmann/-kauffrau Handwerk;Automobilkaufmann/-kauffrau Handwerk
22103053;VKDSMI;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktech.+duales Studium FR Mehrschichtkautschukteile Industrie
51312310;FLLHVL;Fachkraft für Lagerlogistik Handwerk;Fachkraft für Lagerlogistik Handwerk
41322004-DS;CHL-DS;Chemielaborant/Chemielaborantin (+ duales Studium);Chemielaborant/Chemielaborantin (+ duales Studium)
26212002;ELET;Elektriker/Elektrikerin Energietechnik;Elektriker/Elektrikerin Energietechnik
26253340-DS;EBDS;Elektroniker/in für Gebäude- und Infrastruktursyst;Elektroniker/in für Gebäude- und Infrastruktursysteme + duales Studium Handwerk
41422003-KT;WSP-KT;Werkstoffprüfer/Werkstoffprüferin - Fachrichtung K;Werkstoffprüfer/Werkstoffprüferin - Fachrichtung Kunststofftechnik
73212006;SOFA-LS;Sozialversicherungsfachangestellter/Sozialversiche;Sozialversicherungsfachangestellter/Sozialversicherungsfachangestellte - Fachrichtung Landwirtschaftliche Sozialversicherung
26212007-EG;FPE-EG;Fachpraktiker für Elektronik/Fachpraktikerin für E;Fachpraktiker für Elektronik/Fachpraktikerin für Elektronik - Fachrichtung Energie- und Gebäudetechnik
31132010;FSVIBA;Fachkraft für Straßen- und Verkehrstechnik Industr;Fachkraft für Straßen- und Verkehrstechnik Industrie
43112001;INK;Informatikkaufmann/-kauffrau;Informatikkaufmann/-kauffrau
24422002;SWWE;Schweißwerker/Schweißwerkerin;Schweißwerker/Schweißwerkerin
33232001;BWA;Bauwerksabdichter/Bauwerksabdichterin;Bauwerksabdichter/Bauwerksabdichterin
26212003;ELGSI;Elektroniker für Gebäudesystemintegration/Elektron;Elektroniker für Gebäudesystemintegration/Elektronikerin für Gebäudesystemintegration
22342007-MIB;HM-MIB;Holzmechaniker/Holzmechanikerin - Fachrichtung Mon;Holzmechaniker/Holzmechanikerin - Fachrichtung Montieren von Innenausbauten und Bauelementen
28332372;MSMSH;Maßschuhmacher/in FR Schaftbau;Maßschuhmacher/in FR Schaftbau
73212007-AK;SOFA-AK;Sozialversicherungsfachangestellter/Sozialversiche;Sozialversicherungsfachangestellter/Sozialversicherungsfachangestellte - Fachrichtung Allgemeine Krankenversicherung
22102004-CM-DS;VKK-CM-DS;Verfahrensmechaniker/Verfahrensmechanikerin für Ku;Verfahrensmechaniker/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik - Fachrichtung Compound- und Masterbatchherstellung (+ duales Studium)
24202002;MBA;Metallbearbeiter/Metallbearbeiterin;Metallbearbeiter/Metallbearbeiterin
22342350;TIHKH;Tischler/in;Tischler/in
23212383-DM;MDGHPDDM;Mediengestalter/in Digital und Print FR Gestaltung;Mediengestalter/in Digital und Print FR Gestaltung und Technik SP Digitalmedien Handwerk
22342022-BZ;HMBIKH;Holzmechaniker/in FR Bauelemente, Holzpackmittel u;Holzmechaniker/in FR Bauelemente, Holzpackmittel und Rahmen
62302006;VKH-NH;Verkaufskraft im Nahrungsmittelhandwerk;Verkaufskraft im Nahrungsmittelhandwerk
27212010-PK;TPT-PK;Technischer Produktdesigner/Technische Produktdesi;Technischer Produktdesigner/Technische Produktdesignerin - Fachrichtung Produktgestaltung und -konstruktion
51312070;FPLBBIG;Fachpraktiker/in im Lagerbereich (24 Monate);Fachpraktiker/in im Lagerbereich (24 Monate)
28122001;STI;Stricker/Strickerin;Stricker/Strickerin
43232003;KITS;Kaufmann für IT-System-Management/Kauffrau für IT-;Kaufmann für IT-System-Management/Kauffrau für IT-System-Management
93612341;ZIHPKG;Zupfinstrumentenmacher/in FR Gitarrenbau;Zupfinstrumentenmacher/in FR Gitarrenbau
99999088;HBF_ITA;Staatl. gepr. informationstech. Assistent/in;Staatl. gepr. informationstech. Assistent/in
99999003;FSAW-GBO;FS Agrarwirtsch. Fr Gartenbau Sp Obst (1J);FS Agrarwirtsch. Fr Gartenbau Sp Obst (1J)
24412006-KT-DS;MB-KT-DS;Metallbauer/Metallbauerin - Fachrichtung Konstrukt;Metallbauer/Metallbauerin - Fachrichtung Konstruktionstechnik (+ duales Studium)
23212173;MDGIPD;Mediengestalter/in Digital und Print FR Gestaltung;Mediengestalter/in Digital und Print FR Gestaltung und Technik
28222070;MNITL;Modenäher/in;Modenäher/in
62102040;VHIVB;Verkaufshilfe / Verkaufshelfer/in (§66 BBiG);Verkaufshilfe / Verkaufshelfer/in (§66 BBiG)
22382310;BÖHKH;Böttcher/in;Böttcher/in
41212002;MWL;Milchwirtschaftlicher Laborant/Milchwirtschaftlich;Milchwirtschaftlicher Laborant/Milchwirtschaftliche Laborantin
34332710-SV;FKLÖGV;Fachkraft für Kreislauf- und Abfallwirtschaft SP L;Fachkraft für Kreislauf- und Abfallwirtschaft SP Logistik, Sammlung und Vertrieb Öffentlicher Dienst
61212012;KGGIEH;Kaufmann/Kauffrau im Groß- und Außenhandel FR Groß;Kaufmann/Kauffrau im Groß- und Außenhandel FR Großhandel Industrie
34212001;AM-SHK;Anlagenmechaniker für Sanitär-, Heizungs- und Klim;Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik/Anlagenmechanikerin für Sanitär-, Heizungs- und Klimatechnik
32122340;FMAHHT;Fachpraktiker/in im Maurerhandwerk (§42r HwO);Fachpraktiker/in im Maurerhandwerk (§42r HwO)
93312001;HBH;Holzbildhauer/Holzbildhauerin;Holzbildhauer/Holzbildhauerin
27212062;TPMIFP;Technische/r Produktdesigner/in FR Maschinen- und ;Technische/r Produktdesigner/in FR Maschinen- und Anlagenkonstruktion
23212002-KV;MDP-KV;Mediengestalter Digital und Print/Mediengestalteri;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Konzeption und Visualisierung
26213001;ELBT;Elektroniker für Betriebstechnik/Elektronikerin fü;Elektroniker für Betriebstechnik/Elektronikerin für Betriebstechnik
